A qual  programa esta vinculado?;Ha quanto tempo esta vinculado ao referido Programas de Pos-Graduacao?;Como voce avalia a qualidade das aulas e do material utilizado?[Qualidade das aulas];Como voce avalia a qualidade das aulas e do material utilizado? [Material didatico utilizado nas disciplinas];Como voce avalia a qualidade das aulas e do material utilizado? [Acervo disponivel para consulta];Como voce avalia a infraestrutura do programa? [Infraestrutura geral];Como voce avalia a infraestrutura do programa? [Laboratorios de pesquisa/Salas de estudo];Como voce avalia a infraestrutura do programa? [Insumos para pesquisa];Como voce avalia o relacionamento entre voce e: [os discentes];Como voce avalia o relacionamento entre voce e: [os demais professores do programa];Como voce avalia o relacionamento entre voce e: [a comissao coordenadora];Como voce avalia o relacionamento entre voce e: [a secretaria do programa];Como voce avalia a gestao do programa? [Processo de gestao/Administrativo do Programa];Como voce avalia a gestao do programa? [Organizacao do Programa];Como voce avalia o seu conhecimento acerca: [do seu papel enquanto orientador];Como voce avalia o seu conhecimento acerca: [do Regimento Interno do Programa];Como voce avalia o seu conhecimento acerca: [do Regimento Geral da Pos-Graduacao];Como voce avalia o seu conhecimento acerca: [normas Capes];Como voce avalia o seu conhecimento acerca: [processo de avaliacao da Capes];Em relacao aos PROJETOS DE PESQUISA orientados por voce nesse Programa, voce esta:;Em relacao à sua PRODUcaO CIENTiFICA relacionada à esse Programa, voce esta:;Voce acredita que os projetos de pesquisa orientados por voce nesse Programa possuem relevância e pertinencia social?;Voce acredita que os projetos de pesquisa orientados por voce nesse Programa possuem relevância e pertinencia econômica?;Voce acredita que os projetos de pesquisa orientados por voce nesse Programa promovem avanco cientifico?;O seu Programa possui visao, missao e objetivos claros?;Voce acredita que os projetos de pesquisa orientados por voce nesse programa estao alinhados com o objetivo e missao de seu Programa?;Quais sao os principais atores que podem ser impactados pelas pesquisas sob sua orientacao nesse Programa e das producoes cientificas delas decorrentes? (Marque todas que se aplicam).;Voce tem iniciativa de prover captacao de recurso externo para o desenvolvimento de seus projetos de pesquisa (exceto bolsa)?;Na sua opiniao, o que e preciso para que o seu Programa tenha producao de conhecimento cientifico e tecnologico qualificado, reconhecido pela comunidade cientifica internacional da area em que atua?;Producao de inovacao tecnologica e uma prioridade em seu programa de pos-graduacao?;Voce acredita que a linha de pesquisa em que atua nesse Programa se destaca pela producao de inovacao tecnologica?;Voce ja depositou alguma patente proveniente dos resultados das pesquisas por voce orientadas nesse Programa, ou possui isso como um dos objetivos de algum desses projetos de pesquisa?;Alguma tecnologia de APLICAcaO SOCIAL ja foi criada como resultado das pesquisas por voce orientadas nesse Programa, ou possui isso como um dos objetivos de algum desses projetos de pesquisa?;Os resultados das pesquisas por voce orientadas ja foram apresentados em algum evento voltado para a COMUNIDADE, ou pretende apresentar?;Os resultados das pesquisas por voce orientadas ja foram apresentados em algum evento CIENTiFICO, ou pretende apresentar?;Os projetos de pesquisa sob sua orientacao poderao gerar solucoes para os problemas que a sociedade enfrenta ou vira a enfrentar?;Quais os principais impactos sociais a serem promovidos por seus projetos de pesquisa? (Marque todas aplicaveis);Qual o nivel de internacionalizacao do seu programa?;No momento, ha interesse por parte do seu Programa de Pos-Graduacao em iniciar um processo de Internacionalizacao?;Voce se sente preparado para a internacionalizacao do seu Programa de Pos-Graduacao?;Voce entende que o seu Programa de Pos-Graduacao esta preparado para a internacionalizacao?;Voce possui projetos de pesquisa em parceria com instituicoes internacionais de pesquisa ou ensino?;Qual o seu nivel de proficiencia em lingua inglesa?;Sinto-me capacitado para oferecer disciplinas em lingua inglesa:;Gostaria de adicionar algum comentario referente ao Programa de Pos-Graduacao em questao?;Gostaria de adicionar algum comentario referente à Pro-Reitoria de Pesquisa e Pos-Graduacao?
Administracao;Entre 4 e 12 anos;4;5;3;4;4;4;4;4;4;5;4;4;4;4;4;3;2;3;4;5;2;3;Sim;5;Sociedade, Agencias Governamentais, Organizacoes da Sociedade Civil;Nao;;Nao;;;Sim;Sim, em um evento local, Diretamente para as entidades publicas envolvidas;Sim, em um evento nacional, Sim, em um evento internacional;4;Transferencia de conhecimento para a sociedade, Melhoria na qualidade de vida da populacao local, Avanco cientifico;3;;3;4;Nao;3;0;;
Fisiologia Vegetal;Entre 4 e 12 anos;4;5;5;4;4;4;4;5;5;5;5;5;4;4;4;4;4;5;4;4;4;4;Sim;5;Sociedade, Empresas, Outros Pesquisadores, Agencias Governamentais;Sim, junto a agencias de fomento governamentais;Mais recursos financeiros;Nao;;;Sim;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;4;Transferencia de conhecimento para a sociedade, Geracao direta ou indireta de emprego e renda, Melhoria na qualidade de vida da populacao local, Avanco cientifico;5;;4;4;Sim;4;4;Nao.;Nao.
Biologia Celular e Estrutural;Entre 4 e 12 anos;5;5;5;2;2;2;4;4;4;5;3;2;4;3;4;2;3;4;5;3;2;4;Nao;;Sociedade, Outros Pesquisadores, Agencias Governamentais;Sim, junto a agencias de fomento governamentais;;Nao;;;Nao;Nao;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;2;Geracao direta ou indireta de emprego e renda, Avanco cientifico;2;;5;3;Sim;4;5;;
Botânica;Mais de 12 anos;5;5;4;4;3;3;5;5;4;5;4;4;5;5;5;5;5;5;4;5;5;5;Sim;5;Sociedade, Outros Pesquisadores, Ambiente;Sim, junto a agencias de fomento governamentais;Recursos Financeiros e Humano;Nao;;;Sim;Sim, em um evento local, Sim, em um evento regional;Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;5;Nenhuma dos impactos listados;3;;4;4;Sim;4;3;nao;nao
Engenharia Civil;Mais de 12 anos;5;4;5;3;4;3;5;5;4;4;4;4;5;4;4;5;5;5;5;5;5;5;Sim;5;Sociedade, Empresas, Outros Pesquisadores, Agencias Governamentais;Sim, vou atras de todas as oportunidades.;Que os pesquisadores busquem a fronteira do conhecimento. Sejam mais ousados. Saiam da caixinha e pesquisem solucoes inovadoras e de baixo custo.;Nao;;;Sim;Sim, em um evento nacional;Sim, em um evento internacional;5;Transferencia de conhecimento para a sociedade, Geracao direta ou indireta de emprego e renda, Licenciamento de processos ou produtos, Melhoria na qualidade de vida da populacao local, Avanco cientifico;3;;3;3;Sim;3;2;Deveria ser mais dinâmico. ;Considero o pro-reitor atual excelente
Fitopatologia;Entre 4 e 12 anos;5;5;5;5;4;4;4;4;5;5;5;5;5;4;4;3;3;4;3;4;3;4;Sim;5;Empresas, Outros Pesquisadores;Sim, junto a outras instituicoes de apoio à pesquisa (federais ou estaduais);"aporte de recursos para a manutencao da estrutura de pesquisa construida durante decadas de forma mais previsivel e continuada. a pesquisa internacional de ponta e cara e feita em locais bem estruturados.  a habilidade dos docentes do programa em produzir conhecimento cientifico ponta nao e um gargalo, mas a implementacao de tais pesquisas sofre da falta de estrutura e recursos.
outro fator importante associado sao os alunos que conduzem quase a totalidade da pesquisa nos laboratorios. a formacao nem sempre e a minima desejavel para a pos-graduacao e temos que nos ajustar à realidade na hora de balizar o potencial da pesquisa e dos executores. ";Sim;Sim;Sim;Nao;Nao;Sim, em um evento nacional, Sim, em um evento internacional;4;Transferencia de conhecimento para a sociedade, Licenciamento de processos ou produtos, Avanco cientifico;3;;4;4;Nao;5;5;;
Fisiologia Vegetal;Entre 4 e 12 anos;5;5;5;5;5;5;5;5;5;5;4;4;5;5;5;4;4;4;4;5;5;5;Sim;5;Sociedade, Empresas, Outros Pesquisadores, Agencias Governamentais;Sim, junto a agencias de fomento governamentais;Ja e um programa conceito 7 e com inumeras colaboracoes internacionais.;Nao;;;Sim;Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;5;Transferencia de conhecimento para a sociedade, Geracao direta ou indireta de emprego e renda, Criacao de novas empresas ou organizacoes sociais, Melhoria na qualidade de vida da populacao local, Avanco cientifico;3;;3;4;Nao;3;0;;
Agroecologia;Menos de 4 anos;4;4;4;4;4;3;5;4;5;5;5;5;5;4;4;2;3;5;3;5;4;4;Sim;4;Sociedade, Outros Pesquisadores;Sim, junto a agencias de fomento governamentais;A criacao do doutorado e que hajam recursos para desenvolvimento dos projetos de pesquisa;Sim;Nao;Nao;Sim;Sim, em um evento local;Sim, em um evento local, Sim, em um evento nacional;4;Transferencia de conhecimento para a sociedade, Melhoria na qualidade de vida da populacao local, Avanco cientifico;2;;4;3;Nao;3;2;Muito empenho, disposicao e trabalho da parte de todos, buscando conjuntamente o crescimento do programa;Trabalho impecavel
Bioquimica Aplicada;Entre 4 e 12 anos;5;5;5;5;5;4;4;4;4;5;5;5;5;4;4;4;3;5;4;4;5;5;Sim;5;Outros Pesquisadores, Agencias Governamentais;Nao;Mais recursos financeiros para consumiveis e aquisicao e manutencao de equipamentos de grande porte!!;Sim;Nao;Sim;Nao;Nao;Sim, em um evento internacional;5;Licenciamento de processos ou produtos, Avanco cientifico;2;;4;3;Nao;3;1;;
Estatistica Aplicada e Biometria;Mais de 12 anos;4;4;4;4;3;3;5;4;5;5;4;4;4;4;4;3;3;3;4;3;3;3;Sim;4;Outros Pesquisadores;Nao;Uma estrutura fisica melhor e um um corpo docente mais comprometido com o programa.;Nao;;;Nao;Nao;Sim, em um evento nacional;3;Avanco cientifico;3;;2;3;Nao;2;0;Por se tratar de um programa de suma importância dentro do contexto da Instituicao o programa deveria ter um apoio maior da pro-reitoria de Pesquisa de Pos-Graduacao. ;A Pro-Reitoria deveria olhar melhor para os cursos de nota 4 e 5 principalmente para os cursos iniciantes.
Fitotecnia;Mais de 12 anos;5;5;5;4;4;4;5;5;5;5;5;5;5;5;5;4;4;5;3;5;4;4;Sim;5;Sociedade, Outros Pesquisadores;Sim, junto a agencias de fomento governamentais;A producao do Programa e qualificado e reconhecido internacionalmente, mas pode melhorar com o aumento do numero de estudantes estrangeiros, com pesquisas voltadas a temas de interesse internacional (nossas pesquisas sao bastante voltadas para os problemas nacionais) e com maior numero de projetos em parcerias internacionais.;Sim;Sim;Sim;Sim;Sim, em um evento regional;Sim, em um evento nacional, Sim, em um evento internacional;4;Transferencia de conhecimento para a sociedade, Avanco cientifico;4;;4;4;Sim;5;5;A Fitotecnia passa atualmente por uma importante transicao de geracao de orientadores, com boas perspectivas.;A equipe da PPG e competente e corrobora com o desenvolvimento do Programa (nota maxima, 5).
Biologia Animal;Mais de 12 anos;4;4;3;3;4;3;4;4;4;4;2;2;4;3;3;3;2;5;4;4;4;5;Sim;5;Sociedade, Outros Pesquisadores, Agencias Governamentais;Sim, junto a agencias de fomento governamentais;Apoio para publicacoes internacionais ;Sim;Sim;Nao;Sim;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;5;Transferencia de conhecimento para a sociedade, Melhoria na qualidade de vida da populacao local, Avanco cientifico;3;;4;4;Sim;3;0;Preocupacao quanto à continuidade do Programa perante a reducao do apoio governamental. ;
Zootecnia;Menos de 4 anos;Sem condicoes de avaliar;Sem condicoes de avaliar;Sem condicoes de avaliar;4;5;4;5;5;5;5;4;5;4;3;3;3;3;4;4;4;3;4;Sim;3;Sociedade, Outros Pesquisadores;Sim, junto a outras instituicoes de apoio à pesquisa (federais ou estaduais);acho que o programa tem producoes cientificas de reconhecimento internacional. As vezes acho que faltam conhecimentos desenvolvidos para a nossa realidade em termos de Pais;Sim;Sim;Nao;Sim;Sim, em um evento local;Nao;3;Transferencia de conhecimento para a sociedade, Melhoria na qualidade de vida da populacao local, Avanco cientifico;3;;3;3;Nao;5;4;;
Medicina Veterinaria;Mais de 12 anos;5;4;4;5;4;4;4;3;3;5;4;5;5;5;4;2;3;5;4;5;5;4;Sim;5;Sociedade, Outros Pesquisadores;Sim, junto a agencias de fomento governamentais;Recursos financeiros para adocao de novas metodologias d estudo na area, uma vez que muitas delas possuem custo financeiro mais elevado e, no atual momento, recursos para pesquisas no Brasil estao escassos;Sim;Nao;Nao;Sim;Sim, em um evento local;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;4;Transferencia de conhecimento para a sociedade, Criacao de novas empresas ou organizacoes sociais, Melhoria na qualidade de vida da populacao local;3;;4;5;Nao;3;2;Trabalho arduo de todos para atender sempre às exigencias das agencias de fomento quanto a financiamento de projetos, e à CAPES no que tange ao atendimento aos criterios de avaliacao da agencia, visando manter a qualidade do curso, que possui um excelente reconhecimento.;Trabalho impecavel
Ciencia da Computacao;Menos de 4 anos;Sem condicoes de avaliar;Sem condicoes de avaliar;5;3;3;Sem condicoes de avaliar;5;5;5;5;5;4;4;4;4;4;4;4;3;2;4;5;Sim;4;Sociedade, Empresas, Outros Pesquisadores, Agencias Governamentais;Sim, junto a outras instituicoes de apoio à pesquisa (federais ou estaduais);;Sim;Sim;Nao;Nao;Nao;Sim, em um evento nacional, Sim, em um evento internacional;4;Melhoria na qualidade de vida da populacao local, Avanco cientifico;4;;5;4;Nao;5;5;;
Agronomia (Producao Vegetal);Entre 4 e 12 anos;5;4;4;5;4;4;5;5;5;5;5;5;5;4;4;4;4;5;5;5;5;5;Sim;5;Sociedade, Empresas, Outros Pesquisadores;Sim, junto a empresas interessadas nos resultados da pesquisa;;Sim;Nao;Nao;Nao;Sim, em um evento nacional;Sim, em um evento nacional;5;Transferencia de conhecimento para a sociedade, Licenciamento de processos ou produtos, Avanco cientifico;3;;4;4;Nao;3;0;;
Entomologia;Entre 4 e 12 anos;4;4;4;3;3;3;3;2;3;3;2;2;3;4;4;3;2;4;3;3;1;4;Sim;4;Outros Pesquisadores;Sim, junto a agencias de fomento governamentais;;Sim;Nao;Nao;Nao;Sim, em um evento local;Sim, em um evento local, Sim, em um evento nacional, Sim, em um evento internacional;1;Avanco cientifico;5;;4;5;Sim;4;5;;
Medicina Veterinaria;Entre 4 e 12 anos;5;5;4;5;5;4;5;5;5;5;5;5;5;5;5;4;4;4;4;3;4;4;Sim;5;Empresas, Outros Pesquisadores, Medicos Veterinarios e Produtores Rurais;Sim, junto a outras instituicoes de apoio à pesquisa (federais ou estaduais);;Sim;Nao;Sim;Nao;Nao;Sim, em um evento nacional, Sim, em um evento internacional;4;Licenciamento de processos ou produtos, Avanco cientifico;4;;4;5;Sim;4;3;;
Fitotecnia;Menos de 4 anos;4;4;4;5;5;5;5;5;5;5;5;5;4;4;4;Sem condicoes de avaliar;Sem condicoes de avaliar;4;4;4;4;4;Sim;4;Sociedade, Empresas, Outros Pesquisadores;Sim, junto a agencias de fomento governamentais e instituicoes privadas;Maior proximidade aos elos da cadeia produtiva, de pesquisa ensino e econômica. Vivencia da pratica das diferentes areas do setor agricola, comercial e suas possiveis interacoes buscando os desafios e questionamentos para o qual possamos direcionar ou alinhar a pesquisa para gerar conhecimento e levantar alternativas para a solucao de questoes melhorando ou aumentando a producao e qualidade dos produtos. Estimular e efetivar o intercâmbio e formacao de equipes multidisciplinares para apresentar diferentes pontos de vista para enfrentamento e abordagem dos objetivos das pesquisas e propostas de solucao. Fomentar e viabilizar o contato e intercâmbio de pesquisadores, professores e alunos com membros de instituicoes de ensino, pesquisa ou integrantes do setor agricola como forma de se buscar ideias para projetos de pesquisa aplicados e fontes alternativas de materiais e recursos para a pesquisa. ;Sim;Sim;Nao;Nao;Sim, em um evento local, Sim, em um evento nacional, Sim, em um evento internacional;Sim, em um evento internacional;4;Transferencia de conhecimento para a sociedade, Avanco cientifico;4;;4;4;Sim;4;3;Diante dos desafios que encontramos entendo que estamos caminhando bem e lidando com os desafios que nos sao apresentados. ;"Acredito que estao trabalhando de forma ativa para a melhoria e divulgacao da pesquisa da UFV e do Programa de Pos Graduacao. 

Sugiro que reunioes, eventos visando divulgar as pesquisas ja realizadas, trazer integrantes do setor produtivo, comercio e inovacao para participar destas reunioes e eventos e contribuirem com falas e ideias para enriquecer os projetos e os resultados das pesquisas realizadas. Esta interacao e integracao pode favorecer uma pesquisa mais aplicada e com respostas que possam beneficiar o setor agricola de forma mais rapida e efetiva. "
Ecologia;Entre 4 e 12 anos;4;4;4;2;2;1;2;3;1;3;1;1;4;4;4;3;2;2;3;1;1;3;Sim;4;Outros Pesquisadores;Sim, junto a agencias de fomento governamentais;;Nao;;;Nao;Sim, em um evento local;Sim, em um evento local, Sim, em um evento nacional, Sim, em um evento internacional;1;Avanco cientifico;1;;4;3;Sim;4;5;;
Solos e Nutricao de Plantas;Mais de 12 anos;5;4;4;4;4;4;5;5;5;5;5;5;5;4;4;4;4;5;5;5;5;5;Sim;5;Sociedade, Empresas, Outros Pesquisadores;Sim, junto a empresas interessadas nos resultados da pesquisa;;Nao;;;Nao;Sim, em um evento nacional;Sim, em um evento nacional, Sim, em um evento internacional;5;Transferencia de conhecimento para a sociedade, Geracao direta ou indireta de emprego e renda, Licenciamento de processos ou produtos, Avanco cientifico;3;;3;3;Nao;3;0;;
Fisiologia Vegetal;Mais de 12 anos;5;4;4;5;4;5;3;5;5;5;4;5;5;5;5;4;4;5;5;2;3;5;Sim;5;Empresas, Outros Pesquisadores;Sim, junto a agencias de fomento governamentais;O Programa goza de conceito maximo (7) junto à Capes ha mais de dez anos, com inumeras publicacoes nos melhores periodicos da area. Nesse contexto, acredito que ja exista esse reconhecimento pela comunidade cientifica internacional.;Nao;;;Nao;Nao;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;3;Transferencia de conhecimento para a sociedade, Avanco cientifico;5;;4;4;Sim;4;4;;
Fitotecnia;Entre 4 e 12 anos;5;4;5;5;4;4;5;4;5;5;5;5;5;5;5;4;4;4;5;4;4;5;Sim;4;Sociedade, Empresas, Outros Pesquisadores, Agencias Governamentais;Sim, junto a agencias de fomento governamentais;"Na minha opiniao esse tipo de abordagem e dubia. Esses criterios fomentam a acao de pesquisadores ""paperhunters"" sem um estabelecimento claro de linhas ou linha de pesquisa. Aqui cabe um questionamento: sera que este criterio ""publish or perish"" e adequado para ciencias agrarias nos tropicos? Cabe uma grande reflexao.";Sim;Sim;Nao;Sim;Sim, em um evento nacional;Sim, em um evento internacional;5;Transferencia de conhecimento para a sociedade, Geracao direta ou indireta de emprego e renda, Criacao de novas empresas ou organizacoes sociais, Licenciamento de processos ou produtos, Melhoria na qualidade de vida da populacao local, Avanco cientifico;4;;4;4;Nao;3;0;;Em relacao à PPG, senti necessidade de maiores informacoes acerca das condutas que nos orientadores, devemos tomar em relacao à presenca de nossos orientandos no Campus durante a pandemia. Os trabalhos continuaram, e, novamente o tempo, a CAPES, a internacionalizacao, me pareceram mais importantes do que qualquer outra coisa. Talvez tenha me equivocado, todavia, nao recebi uma orientacao clara de como, nos, orientadores deveriamos agir.
Agroquimica;Mais de 12 anos;4;4;4;4;4;3;4;4;4;4;4;4;5;4;4;4;4;4;4;3;4;5;Sim;4;Empresas, Outros Pesquisadores;Sim, junto a agencias de fomento governamentais;Mais apoio financeiro;Sim;Sim;Sim;Nao;Sim, em um evento nacional;Sim, em um evento internacional;3;Transferencia de conhecimento para a sociedade, Licenciamento de processos ou produtos, Avanco cientifico;3;;4;4;Sim;3;3;nao;nao
Economia Domestica;Entre 4 e 12 anos;5;5;5;4;4;5;5;4;5;5;4;4;5;4;4;4;4;5;4;5;4;4;Sim;4;Sociedade, Outros Pesquisadores, Agencias Governamentais, Familias de produtores rurais;Sim, junto a agencias de fomento governamentais;Traducao de qualidade dos artigos para o ingles.;Nao;;;Nao;Sim, em um evento local;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;4;Transferencia de conhecimento para a sociedade, Melhoria na qualidade de vida da populacao local, Avanco cientifico;2;;2;2;Nao;3;0;;Penso que uma politica meritocratica que apoie a traducao de artigos para o ingles e valorize o esforco daqueles professores que buscam publicar em revistas com fator de impacto poderia colocar a UFV em um patamar superior nos ranks internacionais. 
Economia Aplicada;Menos de 4 anos;4;5;5;4;4;4;5;5;5;5;5;5;5;4;4;4;4;4;4;5;5;5;Sim;5;Sociedade, Empresas, Outros Pesquisadores, Agencias Governamentais;Sim, junto a agencias de fomento governamentais;;Nao;;;Nao;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;5;Transferencia de conhecimento para a sociedade, Melhoria na qualidade de vida da populacao local, Avanco cientifico;4;;4;4;Sim;5;5;"O programa e bom, as condicoes nos sao dadas. O que nao e feito e porque nao deu mesmo. 
E eu ja leciono disciplinas em ingles ao FARA-UFV. ";
Ciencia da Nutricao;Mais de 12 anos;5;5;5;4;4;4;5;5;5;5;5;5;5;5;5;4;4;4;5;5;5;5;Sim;5;Sociedade, Outros Pesquisadores;Sim, junto a agencias de fomento governamentais;No momento atual, precisamos que nossas pesquisas voltem a ser financiadas.;Nao;;;Sim;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;Sim, em um evento nacional, Sim, em um evento internacional;5;Transferencia de conhecimento para a sociedade, Melhoria na qualidade de vida da populacao local, Avanco cientifico;3;;5;4;Sim;5;5;Apesar do nosso programa ter reconhecimento nacional, precisa trabalhar aspectos relacionados a sua internacionalizacao.;
Engenharia Agricola;Mais de 12 anos;4;4;5;4;4;3;5;5;5;5;5;5;4;5;4;4;3;5;4;4;4;4;Sim;4;Sociedade, Empresas, Agencias Governamentais;Sim, junto a empresas interessadas nos resultados da pesquisa;O Programa tem dado todo apoio para a producao cientifica kinternacional;Sim;Sim;Sim;Sim;Sim, em um evento nacional;Sim, em um evento internacional;5;Transferencia de conhecimento para a sociedade, Licenciamento de processos ou produtos, Avanco cientifico;4;;4;4;Nao;3;4;Escassez de recursos para pesquisa;nao
Engenharia Civil;Mais de 12 anos;5;5;5;4;5;3;5;5;5;5;4;5;5;5;5;4;4;5;4;5;5;5;Nao;;Empresas, Outros Pesquisadores;Sim, junto a empresas interessadas nos resultados da pesquisa;Um planejamento estrategico.;Sim;Sim;Sim;Nao;Nao;Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;5;Transferencia de conhecimento para a sociedade, Geracao direta ou indireta de emprego e renda, Avanco cientifico;3;;4;4;Sim;4;3;;A PPG/UFV deveria envidar esforcos no sentido de criar um fundo para apoio à publicacao de artigos cientificos em periodicos. Com frequencia, temos nossas possibilidades de publicacao limitadas por falta de recursos para custear revisoes de traducao e taxas de publicacao em alguns periodicos.
Ciencia Florestal;Mais de 12 anos;4;4;5;5;5;3;5;5;5;5;5;5;5;5;5;4;4;4;4;4;4;4;Sim;4;Sociedade, Empresas, Outros Pesquisadores;Sim, junto a empresas interessadas nos resultados da pesquisa;Na minha opiniao o que mais afeta o programa e a parte financeira, escassez de bolsa (principalmente de doutorado),  poucos recursos para desenvolvimento de pesquisa e publicacoes.;Sim;Sim;Sim;Nao;Nao;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;4;Transferencia de conhecimento para a sociedade, Geracao direta ou indireta de emprego e renda, Avanco cientifico;4;;3;4;Sim;3;1;;
Fisiologia Vegetal;Entre 4 e 12 anos;5;4;4;5;4;4;4;5;5;5;5;4;5;4;4;5;5;4;5;4;5;4;Sim;5;Sociedade, Empresas;Sim, junto a empresas interessadas nos resultados da pesquisa;Aumentar a publicacao dos nossos trabalhos em revistas de maior impacto bem como conseguir financiamento para nossas pesquisas fora dos atores governamentais e estaduais que, atualmente, sao a principal forma de fomento no nosso programa.;Nao;;;Nao;Sim, em um evento regional;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;5;Transferencia de conhecimento para a sociedade, Geracao direta ou indireta de emprego e renda, Avanco cientifico;3;;3;2;Sim;5;4;;
Bioquimica Aplicada;Mais de 12 anos;5;5;3;3;4;5;5;5;5;5;5;5;4;5;4;4;4;4;4;5;5;4;Sim;4;Sociedade, Empresas;Sim, junto a outras instituicoes de apoio à pesquisa (federais ou estaduais);Necessita termos mais recursos financeiros pois, pessoal capacitado e com boas ideias nos temos falta e recursos para implanta-las;Sim;Sim;Sim;Nao;Nao;Sim, em um evento internacional;5;Transferencia de conhecimento para a sociedade, Licenciamento de processos ou produtos;3;;3;3;Nao;3;3;Satisfeita com acoes implementadas ate o momento;Satisfeita
Administracao;Menos de 4 anos;4;4;5;5;4;4;5;5;5;5;5;5;4;4;4;3;3;4;4;4;3;4;Sim;5;Sociedade, Empresas;Sim, junto a agencias de fomento governamentais;Seriam formas mais efetivas de interacoes internacionais, com parcerias entre Universidades e docentes externos.;Nao;;;Sim;Nao;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;4;Avanco cientifico;2;;3;3;Nao;2;1;;
Economia Aplicada;Menos de 4 anos;4;4;2;3;3;2;3;4;4;4;2;3;4;4;3;3;4;4;3;4;4;3;Sim;5;Sociedade, Outros Pesquisadores, Agencias Governamentais;Nao;;Nao;;;Nao;Nao;Sim, em um evento regional, Sim, em um evento nacional;4;Transferencia de conhecimento para a sociedade, Melhoria na qualidade de vida da populacao local;2;;2;2;Nao;2;0;;
Extensao Rural;Entre 4 e 12 anos;4;4;4;4;4;3;4;3;4;4;3;2;4;4;3;3;3;4;3;5;5;4;Nao;;Sociedade, Outros Pesquisadores, Agencias Governamentais;Agencias de fomento governamentais, orgaos governamentais e empresas ;Maior integracao do corpo docente e entre os programas da ufv, mas principalmente organizar melhor os incentivos para os professores permanecerem na pos graduacao. Ser pesquisador hoje e cada vez mais dificil como carreira. e quase uma militância, dependendo do compromisso de tempo que excede muito o ;Nao;;;Sim;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;5;Transferencia de conhecimento para a sociedade, Criacao de novas empresas ou organizacoes sociais, Melhoria na qualidade de vida da populacao local;3;;3;2;Sim;3;0;;
Botânica;Menos de 4 anos;4;5;4;4;3;3;5;4;4;5;4;4;5;4;5;5;5;3;3;4;4;3;Sim;3;Sociedade;Sim, junto a empresas interessadas nos resultados da pesquisa;;Nao;;;Nao;Nao;Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;4;Geracao direta ou indireta de emprego e renda, Avanco cientifico;3;;4;2;Sim;5;4;;
Fitopatologia;Entre 4 e 12 anos;4;4;5;4;4;3;5;4;4;5;5;5;4;5;4;2;2;3;3;3;4;3;Sim;4;Sociedade, Empresas, Outros Pesquisadores;Sim, junto a outras instituicoes de apoio à pesquisa (federais ou estaduais);"Divulgacao cientifica; melhoria na infraestrutura dos laboratorios/casa de vegetacao e tecnicos de laboratorios. Esse ultimo, permitiria que os docentes nao ""perdessem"" tempo executando atividades de tecnicos de laboratorio (ja que muitos de nos nao temos tais servidores para nos auxiliar). Assim, teriamos mais tempo para nos dedicarmos as atividades de docente, por exemplo, redacao de projetos e busca por fontes alternativas de fomento à pesquisa, redacao e submissao de manuscritos, etc.";Nao;;;Nao;Sim, em um evento local;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional;4;Licenciamento de processos ou produtos, Avanco cientifico;4;;3;4;Nao;2;0;;
Estatistica Aplicada e Biometria;Entre 4 e 12 anos;4;4;4;3;5;Sem condicoes de avaliar;5;5;5;5;5;5;5;5;5;5;5;3;2;2;2;3;Sim;3;Empresas, Outros Pesquisadores;Nao;Mais professores e melhor espaco fisico;Nao;;;Nao;Sim, em um evento local, Sim, em um evento regional;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional;2;Nenhuma dos impactos listados;2;;5;4;Nao;5;5;e um programa ainda novo, com areas de pesquisas nao consolidadas. ;
